filename, language, JSON, JSON with Comments, Ini, Lua, XML, Papyrus, HLSL, comment, blank, total
_bin\soltest\data\forms\classes\model.json, JSON, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
_bin\soltest\data\forms\dbformtype\basic.json, JSON, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
_bin\soltest\data\forms\effects\kindred_transform.json, JSON, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
_bin\soltest\data\forms\events\sound\steps.json, JSON, 89, 0, 0, 0, 0, 0, 0, 0, 2, 91
_bin\soltest\data\forms\flow\functions\functest.json, JSON, 62, 0, 0, 0, 0, 0, 0, 0, 10, 72
_bin\soltest\data\forms\flow\functions\vecshift.json, JSON, 108, 0, 0, 0, 0, 0, 0, 0, 12, 120
_bin\soltest\data\forms\items\tools\bow_kindred.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
_bin\soltest\data\forms\items\tools\bow_kindred_gal.json, JSON, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
_bin\soltest\data\forms\items\tools\physgun.json, JSON, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
_bin\soltest\data\forms\items\tools\staff_nami.json, JSON, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
_bin\soltest\data\forms\items\touhou\minihakkero.dnmd, JSON with Comments, 0, 107, 0, 0, 0, 0, 0, 0, 8, 115
_bin\soltest\data\forms\itemset\fk_clothes.json, JSON, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
_bin\soltest\data\forms\itemset\sdm_clutter.json, JSON, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
_bin\soltest\data\forms\itemset\test.json, JSON, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
_bin\soltest\data\forms\levels\city\building.dnmd, JSON with Comments, 0, 372, 0, 0, 0, 0, 0, 112, 33, 517
_bin\soltest\data\forms\levels\city\building_flat.dnmd, JSON with Comments, 0, 132, 0, 0, 0, 0, 0, 3, 17, 152
_bin\soltest\data\forms\levels\city\building_gen.dnmd, JSON with Comments, 0, 311, 0, 0, 0, 0, 0, 41, 19, 371
_bin\soltest\data\forms\levels\city\building_generator_test.dnmd, JSON with Comments, 0, 205, 0, 0, 0, 0, 0, 21, 12, 238
_bin\soltest\data\forms\levels\city\building_section.dnmd, JSON with Comments, 0, 272, 0, 0, 0, 0, 0, 31, 25, 328
_bin\soltest\data\forms\levels\city\facade_gen_test.dnmd, JSON with Comments, 0, 532, 0, 0, 0, 0, 0, 156, 48, 736
_bin\soltest\data\forms\levels\city\map.dnmd, JSON with Comments, 0, 230, 0, 0, 0, 0, 0, 36, 18, 284
_bin\soltest\data\forms\levels\city\roadtest.dnmd, JSON with Comments, 0, 130, 0, 0, 0, 0, 0, 22, 12, 164
_bin\soltest\data\forms\levels\city\sst\sst_corridor.dnmd, JSON with Comments, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
_bin\soltest\data\forms\levels\city\sst\sst_entrance.dnmd, JSON with Comments, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
_bin\soltest\data\forms\levels\city\sst\sst_in.dnmd, JSON with Comments, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
_bin\soltest\data\forms\levels\city\sst\sst_transfer.dnmd, JSON with Comments, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
_bin\soltest\data\forms\levels\city\staircase_2w.dnmd, JSON with Comments, 0, 86, 0, 0, 0, 0, 0, 1, 10, 97
_bin\soltest\data\forms\levels\city\staircase_3w.dnmd, JSON with Comments, 0, 109, 0, 0, 0, 0, 0, 3, 16, 128
_bin\soltest\data\forms\levels\city\test_building.dnlv, JSON with Comments, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
_bin\soltest\data\forms\levels\city\windows_blue.json, JSON, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
_bin\soltest\data\forms\levels\city\windows_yellow.json, JSON, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
_bin\soltest\data\forms\levels\east_common\jp_fence.dnmd, JSON with Comments, 0, 95, 0, 0, 0, 0, 0, 6, 13, 114
_bin\soltest\data\forms\levels\east_common\jp_fence_test.dnmd, JSON with Comments, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
_bin\soltest\data\forms\levels\east_common\jp_window_frame_a.dnmd, JSON with Comments, 0, 53, 0, 0, 0, 0, 0, 2, 5, 60
_bin\soltest\data\forms\levels\east_common\tree_sakura.dnmd, JSON with Comments, 0, 125, 0, 0, 0, 0, 0, 10, 19, 154
_bin\soltest\data\forms\levels\gear\geara.dnmd, JSON with Comments, 0, 59, 0, 0, 0, 0, 0, 12, 5, 76
_bin\soltest\data\forms\levels\hvil\bridge.dnmd, JSON with Comments, 0, 104, 0, 0, 0, 0, 0, 3, 23, 130
_bin\soltest\data\forms\levels\hvil\bush_green.dnmd, JSON with Comments, 0, 108, 0, 0, 0, 0, 0, 10, 19, 137
_bin\soltest\data\forms\levels\hvil\fence.dnmd, JSON with Comments, 0, 90, 0, 0, 0, 0, 0, 0, 4, 94
_bin\soltest\data\forms\levels\hvil\house.dnmd, JSON with Comments, 0, 90, 0, 0, 0, 0, 0, 61, 19, 170
_bin\soltest\data\forms\levels\hvil\road.dnmd, JSON with Comments, 0, 44, 0, 0, 0, 0, 0, 7, 5, 56
_bin\soltest\data\forms\levels\hvil\tree_green.dnmd, JSON with Comments, 0, 126, 0, 0, 0, 0, 0, 10, 19, 155
_bin\soltest\data\forms\levels\hvil\tree_green_old.dnmd, JSON with Comments, 0, 125, 0, 0, 0, 0, 0, 10, 19, 154
_bin\soltest\data\forms\levels\hvil\tree_pine.dnmd, JSON with Comments, 0, 163, 0, 0, 0, 0, 0, 10, 19, 192
_bin\soltest\data\forms\levels\sdm\arch\building.dnmd, JSON with Comments, 0, 592, 0, 0, 0, 0, 0, 52, 115, 759
_bin\soltest\data\forms\levels\sdm\arch\corridor.dnmd, JSON with Comments, 0, 234, 0, 0, 0, 0, 0, 1, 30, 265
_bin\soltest\data\forms\levels\sdm\arch\corridors_1floor.dnmd, JSON with Comments, 0, 1261, 0, 0, 0, 0, 0, 71, 161, 1493
_bin\soltest\data\forms\levels\sdm\arch\corridors_2floor.dnmd, JSON with Comments, 0, 1533, 0, 0, 0, 0, 0, 129, 213, 1875
_bin\soltest\data\forms\levels\sdm\arch\entrance_room.dnmd, JSON with Comments, 0, 447, 0, 0, 0, 0, 0, 47, 85, 579
_bin\soltest\data\forms\levels\sdm\arch\foyer.dnmd, JSON with Comments, 0, 198, 0, 0, 0, 0, 0, 27, 20, 245
_bin\soltest\data\forms\levels\sdm\arch\library.dnmd, JSON with Comments, 0, 348, 0, 0, 0, 0, 0, 38, 83, 469
_bin\soltest\data\forms\levels\sdm\arch\parts\arch.dnmd, JSON with Comments, 0, 94, 0, 0, 0, 0, 0, 5, 17, 116
_bin\soltest\data\forms\levels\sdm\arch\parts\bookshelf.dnmd, JSON with Comments, 0, 184, 0, 0, 0, 0, 0, 2, 5, 191
_bin\soltest\data\forms\levels\sdm\arch\parts\clocktower.dnmd, JSON with Comments, 0, 209, 0, 0, 0, 0, 0, 46, 27, 282
_bin\soltest\data\forms\levels\sdm\arch\parts\column.dnmd, JSON with Comments, 0, 116, 0, 0, 0, 0, 0, 1, 4, 121
_bin\soltest\data\forms\levels\sdm\arch\parts\door01.dnmd, JSON with Comments, 0, 163, 0, 0, 0, 0, 0, 19, 12, 194
_bin\soltest\data\forms\levels\sdm\arch\parts\floor_carpet.dnmd, JSON with Comments, 0, 51, 0, 0, 0, 0, 0, 1, 0, 52
_bin\soltest\data\forms\levels\sdm\arch\parts\library_arch.dnmd, JSON with Comments, 0, 98, 0, 0, 0, 0, 0, 6, 13, 117
_bin\soltest\data\forms\levels\sdm\arch\parts\roof.dnmd, JSON with Comments, 0, 76, 0, 0, 0, 0, 0, 7, 6, 89
_bin\soltest\data\forms\levels\sdm\arch\parts\roof_small.dnmd, JSON with Comments, 0, 56, 0, 0, 0, 0, 0, 1, 4, 61
_bin\soltest\data\forms\levels\sdm\arch\parts\staircase_3w.dnmd, JSON with Comments, 0, 109, 0, 0, 0, 0, 0, 3, 16, 128
_bin\soltest\data\forms\levels\sdm\arch\parts\stddoor.dnmd, JSON with Comments, 0, 52, 0, 0, 0, 0, 0, 1, 1, 54
_bin\soltest\data\forms\levels\sdm\arch\parts\stdwindow.dnmd, JSON with Comments, 0, 46, 0, 0, 0, 0, 0, 6, 1, 53
_bin\soltest\data\forms\levels\sdm\arch\parts\wallcolumns.dnmd, JSON with Comments, 0, 40, 0, 0, 0, 0, 0, 1, 2, 43
_bin\soltest\data\forms\levels\sdm\arch\parts\wallsegment_a.dnmd, JSON with Comments, 0, 77, 0, 0, 0, 0, 0, 3, 8, 88
_bin\soltest\data\forms\levels\sdm\arch\parts\window_a.dnmd, JSON with Comments, 0, 80, 0, 0, 0, 0, 0, 2, 3, 85
_bin\soltest\data\forms\levels\sdm\arch\tower2.dnmd, JSON with Comments, 0, 70, 0, 0, 0, 0, 0, 1, 10, 81
_bin\soltest\data\forms\levels\sdm\arch\tower2_room.dnmd, JSON with Comments, 0, 138, 0, 0, 0, 0, 0, 2, 13, 153
_bin\soltest\data\forms\levels\sdm\bridge.dnmd, JSON with Comments, 0, 114, 0, 0, 0, 0, 0, 1, 23, 138
_bin\soltest\data\forms\levels\sdm\exterior.dnlv, JSON with Comments, 0, 77, 0, 0, 0, 0, 0, 0, 2, 79
_bin\soltest\data\forms\levels\sdm\furn\chair01.dnmd, JSON with Comments, 0, 126, 0, 0, 0, 0, 0, 1, 12, 139
_bin\soltest\data\forms\levels\sdm\furn\cupboard01.dnmd, JSON with Comments, 0, 118, 0, 0, 0, 0, 0, 7, 14, 139
_bin\soltest\data\forms\levels\sdm\furn\cupboard02.dnmd, JSON with Comments, 0, 146, 0, 0, 0, 0, 0, 7, 17, 170
_bin\soltest\data\forms\levels\sdm\furn\cupboard03.dnmd, JSON with Comments, 0, 69, 0, 0, 0, 0, 0, 2, 8, 79
_bin\soltest\data\forms\levels\sdm\furn\cupboard_small01.dnmd, JSON with Comments, 0, 70, 0, 0, 0, 0, 0, 7, 8, 85
_bin\soltest\data\forms\levels\sdm\furn\lamp01.dnmd, JSON with Comments, 0, 127, 0, 0, 0, 0, 0, 1, 12, 140
_bin\soltest\data\forms\levels\sdm\furn\painting01.dnmd, JSON with Comments, 0, 96, 0, 0, 0, 0, 0, 0, 3, 99
_bin\soltest\data\forms\levels\sdm\furn\painting01_square.dnmd, JSON with Comments, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
_bin\soltest\data\forms\levels\sdm\furn\parts\cupdoor.dnmd, JSON with Comments, 0, 95, 0, 0, 0, 0, 0, 1, 12, 108
_bin\soltest\data\forms\levels\sdm\furn\parts\cupdoor2.dnmd, JSON with Comments, 0, 93, 0, 0, 0, 0, 0, 1, 9, 103
_bin\soltest\data\forms\levels\sdm\furn\parts\cupdoor3.dnmd, JSON with Comments, 0, 83, 0, 0, 0, 0, 0, 1, 9, 93
_bin\soltest\data\forms\levels\sdm\furn\parts\handle.dnmd, JSON with Comments, 0, 57, 0, 0, 0, 0, 0, 1, 3, 61
_bin\soltest\data\forms\levels\sdm\furn\parts\legs.dnmd, JSON with Comments, 0, 54, 0, 0, 0, 0, 0, 1, 3, 58
_bin\soltest\data\forms\levels\sdm\furn\parts\shelf.dnmd, JSON with Comments, 0, 48, 0, 0, 0, 0, 0, 4, 5, 57
_bin\soltest\data\forms\levels\sdm\furn\table01.dnmd, JSON with Comments, 0, 108, 0, 0, 0, 0, 0, 1, 6, 115
_bin\soltest\data\forms\levels\sdm\interior_library.dnlv, JSON with Comments, 0, 98, 0, 0, 0, 0, 0, 8, 18, 124
_bin\soltest\data\forms\levels\sdm\interior_main.dnlv, JSON with Comments, 0, 264, 0, 0, 0, 0, 0, 17, 40, 321
_bin\soltest\data\forms\levels\sdm\interior_tower2.dnlv, JSON with Comments, 0, 99, 0, 0, 0, 0, 0, 1, 16, 116
_bin\soltest\data\forms\levels\sdm\rail.dnmd, JSON with Comments, 0, 101, 0, 0, 0, 0, 0, 4, 8, 113
_bin\soltest\data\forms\levels\sdm\wall.dnmd, JSON with Comments, 0, 101, 0, 0, 0, 0, 0, 4, 8, 113
_bin\soltest\data\forms\levels\shr\gate.dnmd, JSON with Comments, 0, 83, 0, 0, 0, 0, 0, 2, 6, 91
_bin\soltest\data\forms\levels\shr\house.dnmd, JSON with Comments, 0, 207, 0, 0, 0, 0, 0, 5, 35, 247
_bin\soltest\data\forms\levels\shr\jp_shrine_lantern_stone.dnmd, JSON with Comments, 0, 146, 0, 0, 0, 0, 0, 6, 17, 169
_bin\soltest\data\forms\levels\shr\jp_shrine_lantern_wood.dnmd, JSON with Comments, 0, 199, 0, 0, 0, 0, 0, 19, 24, 242
_bin\soltest\data\forms\levels\shr\shrine.dnmd, JSON with Comments, 0, 167, 0, 0, 0, 0, 0, 5, 33, 205
_bin\soltest\data\forms\levels\train\bogie.dnmd, JSON with Comments, 0, 233, 0, 0, 0, 0, 0, 0, 24, 257
_bin\soltest\data\forms\levels\train\carriage.dnmd, JSON with Comments, 0, 563, 0, 0, 0, 0, 0, 72, 57, 692
_bin\soltest\data\forms\levels\train\carriage_nowheels.dnmd, JSON with Comments, 0, 553, 0, 0, 0, 0, 0, 82, 57, 692
_bin\soltest\data\forms\levels\train\grate.dnmd, JSON with Comments, 0, 74, 0, 0, 0, 0, 0, 0, 3, 77
_bin\soltest\data\forms\levels\train\mpart1.dnmd, JSON with Comments, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
_bin\soltest\data\forms\levels\train\mpart2.dnmd, JSON with Comments, 0, 69, 0, 0, 0, 0, 0, 0, 6, 75
_bin\soltest\data\forms\levels\train\platform_roof.dnmd, JSON with Comments, 0, 157, 0, 0, 0, 0, 0, 0, 31, 188
_bin\soltest\data\forms\levels\train\sofa.dnmd, JSON with Comments, 0, 61, 0, 0, 0, 0, 0, 1, 2, 64
_bin\soltest\data\forms\levels\train\track.dnmd, JSON with Comments, 0, 103, 0, 0, 0, 0, 0, 8, 5, 116
_bin\soltest\data\forms\levels\train\wheel.dnmd, JSON with Comments, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
_bin\soltest\data\forms\levels\train\window.dnmd, JSON with Comments, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
_bin\soltest\data\forms\nodes\1000002.n, JSON with Comments, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
_bin\soltest\data\forms\nodes\1065632697.n, JSON with Comments, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
_bin\soltest\data\forms\nodes\116024354.n, JSON with Comments, 0, 77, 0, 0, 0, 0, 0, 0, 3, 80
_bin\soltest\data\forms\nodes\1178403595.n, JSON with Comments, 0, 1591, 0, 0, 0, 0, 0, 0, 60, 1651
_bin\soltest\data\forms\nodes\1178403595_old.n, JSON with Comments, 0, 220, 0, 0, 0, 0, 0, 0, 9, 229
_bin\soltest\data\forms\nodes\1178403595_old2.n, JSON with Comments, 0, 421, 0, 0, 0, 0, 0, 0, 17, 438
_bin\soltest\data\forms\nodes\1178403595_old3.n, JSON with Comments, 0, 1405, 0, 0, 0, 0, 0, 0, 53, 1458
_bin\soltest\data\forms\nodes\1384125349.n, JSON with Comments, 0, 276, 0, 0, 0, 0, 0, 0, 13, 289
_bin\soltest\data\forms\nodes\146495685.n, JSON with Comments, 0, 250, 0, 0, 0, 0, 0, 0, 12, 262
_bin\soltest\data\forms\nodes\1563639284.n, JSON with Comments, 0, 163, 0, 0, 0, 0, 0, 0, 5, 168
_bin\soltest\data\forms\nodes\170364350.n, JSON with Comments, 0, 249, 0, 0, 0, 0, 0, 18, 12, 279
_bin\soltest\data\forms\nodes\1712499733.n, JSON with Comments, 0, 34, 0, 0, 0, 0, 0, 0, 0, 34
_bin\soltest\data\forms\nodes\1934751279.n, JSON with Comments, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
_bin\soltest\data\forms\nodes\2008649333.n, JSON with Comments, 0, 20, 0, 0, 0, 0, 0, 37, 1, 58
_bin\soltest\data\forms\nodes\2053289040.n, JSON with Comments, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
_bin\soltest\data\forms\nodes\254000.n, JSON with Comments, 0, 346, 0, 0, 0, 0, 0, 0, 14, 360
_bin\soltest\data\forms\nodes\333333.n, JSON with Comments, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
_bin\soltest\data\forms\nodes\44301001.n, JSON with Comments, 0, 1711, 0, 0, 0, 0, 0, 0, 69, 1780
_bin\soltest\data\forms\nodes\56001.n, JSON with Comments, 0, 201, 0, 0, 0, 0, 0, 51, 5, 257
_bin\soltest\data\forms\nodes\69116198.n, JSON with Comments, 0, 52, 0, 0, 0, 0, 0, 0, 2, 54
_bin\soltest\data\forms\nodes\92782007.n, JSON with Comments, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
_bin\soltest\data\forms\nodes\_dump\9900002 (2).n, JSON with Comments, 0, 102, 0, 0, 0, 0, 0, 0, 4, 106
_bin\soltest\data\forms\nodes\_dump\9900002.n, JSON with Comments, 0, 62, 0, 0, 0, 0, 0, 22, 7, 91
_bin\soltest\data\forms\nodes\manual\_jtest1.n, JSON with Comments, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
_bin\soltest\data\forms\nodes\manual\_jtest2.n, JSON with Comments, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
_bin\soltest\data\forms\nodes\manual\_jtest3.n, JSON with Comments, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
_bin\soltest\data\forms\nodes\manual\a1.n, JSON with Comments, 0, 422, 0, 0, 0, 0, 0, 0, 21, 443
_bin\soltest\data\forms\nodes\manual\a2.n, JSON with Comments, 0, 182, 0, 0, 0, 0, 0, 0, 9, 191
_bin\soltest\data\forms\nodes\manual\a3.n, JSON with Comments, 0, 1062, 0, 0, 0, 0, 0, 0, 53, 1115
_bin\soltest\data\forms\nodes\manual\aaa1.n, JSON with Comments, 0, 707, 0, 0, 0, 0, 0, 0, 34, 741
_bin\soltest\data\forms\nodes\manual\aaa2.n, JSON with Comments, 0, 385, 0, 0, 0, 0, 0, 0, 21, 406
_bin\soltest\data\forms\nodes\manual\asd.n, JSON with Comments, 0, 116, 0, 0, 0, 0, 0, 0, 5, 121
_bin\soltest\data\forms\nodes\manual\bbb1.n, JSON with Comments, 0, 608, 0, 0, 0, 0, 0, 0, 30, 638
_bin\soltest\data\forms\nodes\manual\beds.n, JSON with Comments, 0, 162, 0, 0, 0, 0, 0, 0, 8, 170
_bin\soltest\data\forms\nodes\manual\l_bridge.n, JSON with Comments, 0, 65, 0, 0, 0, 0, 0, 0, 4, 69
_bin\soltest\data\forms\nodes\manual\s1.n, JSON with Comments, 0, 1329, 0, 0, 0, 0, 0, 0, 66, 1395
_bin\soltest\data\forms\nodes\manual\s2.n, JSON with Comments, 0, 1797, 0, 0, 0, 0, 0, 0, 89, 1886
_bin\soltest\data\forms\nodes\manual\s3.n, JSON with Comments, 0, 3264, 0, 0, 0, 0, 0, 0, 162, 3426
_bin\soltest\data\forms\nodes\manual\s4.n, JSON with Comments, 0, 3444, 0, 0, 0, 0, 0, 0, 171, 3615
_bin\soltest\data\forms\nodes\manual\sa1.n, JSON with Comments, 0, 1382, 0, 0, 0, 0, 0, 0, 69, 1451
_bin\soltest\data\forms\nodes\manual\set1.n, JSON with Comments, 0, 1185, 0, 0, 0, 0, 0, 0, 59, 1244
_bin\soltest\data\forms\nodes\manual\test111111.n, JSON with Comments, 0, 593, 0, 0, 0, 0, 0, 0, 28, 621
_bin\soltest\data\forms\nodes\manual\testfence.n, JSON with Comments, 0, 114, 0, 0, 0, 0, 0, 0, 3, 117
_bin\soltest\data\forms\nodes\manual\testflat.n, JSON with Comments, 0, 292, 0, 0, 0, 0, 0, 0, 12, 304
_bin\soltest\data\forms\nodes\manual\wtf.n, JSON with Comments, 0, 782, 0, 0, 0, 0, 0, 0, 39, 821
_bin\soltest\data\forms\nodes\worlds\u1.n, JSON with Comments, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
_bin\soltest\data\forms\planets\earth.json, JSON, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
_bin\soltest\data\forms\planets\gen_barren\info.json, JSON, 53, 0, 0, 0, 0, 0, 0, 0, 0, 53
